,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-07-07 10:08:59.999,1657181160000,1176.21,1179.76,1175.93,1177.29,3105.38,1657181339999,3657283.703609,1862,2127.7122,2505813.135329,
2022-07-07 10:11:59.999,1657181340000,1177.3,1177.6,1176.2,1176.81,1577.2182,1657181519999,1856171.284552,1086,747.4434,879675.941898,
2022-07-07 10:14:59.999,1657181520000,1176.81,1178.07,1176.32,1177.0,1338.5509,1657181699999,1575593.288074,913,652.1445,767648.78465,
2022-07-07 10:17:59.999,1657181700000,1177.01,1177.24,1173.19,1173.77,2562.1878,1657181879999,3011579.425186,1733,698.7654,821081.869589,
2022-07-07 10:20:59.999,1657181880000,1173.77,1175.97,1173.06,1175.45,1228.5769,1657182059999,1443244.952127,1090,720.2389,846019.786737,
2022-07-07 10:23:59.999,1657182060000,1175.45,1176.54,1174.76,1175.37,541.5894,1657182239999,636664.967008,748,238.313,280097.412246,
2022-07-07 10:26:59.999,1657182240000,1175.37,1175.93,1174.4,1175.92,1319.7842,1657182419999,1550963.848371,903,547.2716,643124.259894,
2022-07-07 10:29:59.999,1657182420000,1175.93,1176.95,1175.38,1176.95,720.9582,1657182599999,847892.998153,690,354.1646,416529.454135,
2022-07-07 10:32:59.999,1657182600000,1176.94,1177.95,1176.75,1177.6,1436.9344,1657182779999,1691696.004949,990,908.2149,1069180.477558,
2022-07-07 10:35:59.999,1657182780000,1177.61,1178.0,1175.54,1176.52,1889.6052,1657182959999,2223674.519318,1002,596.78,702119.337603,
2022-07-07 10:38:59.999,1657182960000,1176.52,1178.38,1175.87,1176.15,1687.7881,1657183139999,1986683.763304,1063,1095.9645,1289915.034543,
2022-07-07 10:41:59.999,1657183140000,1176.15,1176.64,1175.51,1175.76,1884.9635,1657183319999,2216518.446161,1706,1067.037,1254689.233871,
2022-07-07 10:44:59.999,1657183320000,1175.75,1178.13,1175.61,1177.55,1959.0576,1657183499999,2304408.40289,1947,1410.9805,1659480.324685,
